timestamp,ratio,variability,slope,glucose
1689291000000,1.2345,45.67,12.34,98.7
1689291060000,1.1987,46.23,11.89,102.4
1689291120000,1.2156,44.89,12.78,95.3
1689291180000,1.1876,48.12,10.95,108.9
1689291240000,1.1765,49.34,9.87,115.2
1689291300000,1.1654,51.02,8.76,123.6
1689291360000,1.2011,47.45,11.23,104.5
1689291420000,1.1923,48.67,10.56,111.8
1689291480000,1.2055,46.89,11.67,101.2
1689291540000,1.2189,43.21,13.45,92.4
1689291600000,1.1898,47.98,10.34,113.7
1689291660000,1.1743,50.11,9.12,120.5
1689291720000,1.2231,42.56,14.12,87.6
1689291780000,1.2078,46.34,11.89,99.8
1689291840000,1.1965,48.02,10.78,107.3
